Intensity Level	Blue	Green	Red
246            	2843	965	945       
247            	2653	918	955       
248            	2811	835	1004      
249            	2605	823	1036      
250            	2741	871	1020      
251            	3049	836	1002      
252            	2761	892	1194      
253            	3416	1015	1246      
254            	2999	1629	2105      
255            	12142	10544	7390      
